discount,discount_rate,name,original_price,price,rating_average,review_count,quantity_sold
0,0,Quần ngố nữ jean co giãn tốt 2 túi trước Ms 900,286000,286000,0,0,
0,0,Áo khoác dù bomber nam nữ cúc bấm logo chữ K sắc nét,94000,94000,4.5,22,49
0,0,Áo Sơ Mi Nam Đen Ngắn Tay Chất Cotton Co Dãn Mềm Mại Không Nhăn Không Xù Dáng Ôm Mặc Thoải Mái Bao Kiểm Tra Chất Lượng,516000,516000,0,0,
69000,50,Áo thun tay dài nam giữ nhiệt cao cấp vải thun cotton co giãn 4 chiều mặc lót bên trong ấm áp,138000,69000,4.8,22,82
0,0,Áo gió 3 KHÓA LÓT LÔNG Hidoli- UNISEX mặc được cả nam và nữ,169000,169000,0,0,
111200,44,"Quần jean nam chất jean xịn Julido, Phối rách mẫu mới form đẹp tôn dáng không quá ôm mẫu Top09",250200,139000,4.5,214,472
0,0,Quần thể thao nam nữ unisex 1 Thu Đông chất dày co giãn ống suông mặc nhà mặc thể dục,85000,85000,0,0,
0,0,Quần Short Nam Chất Đũi Chất Thoáng Mát Dáng Trẻ Trung T36,135000,135000,5,50,147
0,0,"Áo sơ mi lụa nam nữ form rộng tay lở in hình cúc họa mi nhỏ cực chất, chất lụa mềm mịn, thoải mái",25777,25777,0,0,
0,0,Áo Giữ Nhiệt Nam Lót Nỉ Cổ 5 Phân Ấm Áp,79999,79999,0,0,
81000,32,Quần boxer nam cao cấp vải cotton 100% thoáng mát co giãn 4 chiều DILANO BX01,250000,169000,0,0,
71000,24,Combo 4 quần lót nam cạp 1cm sợi tre Bamboo tự nhiên mềm mịn thấm hút mồ hôi - Màu Ngẫu nhiên,300000,229000,4.6,258,750
0,0,Quần Culottes ống rộng sọc màu vải Cotton mịn mát FFStore,150000,150000,0,0,
0,0,"Quần Lót Nam Thun Lạnh Cotton ICON Co Giãn 4 chiều, Quần Lót Nam Đùi Boxer ICON Demin sexy cao cấp - Minhstore",34000,34000,4.5,16,198
0,0,"Gập GọnMóc Chùm Phơi Quần Áo, Đồ Baby, Tã, Đồ Nhỏ, Quần Lót Nam Nữ 32 Kẹp",122500,122500,0,0,
79200,44,"Áo thun nam dài tay Julido, Chất thun cotton xịn bo tay và hông mẫu thu đông AT1357",178200,99000,4.6,151,351
0,0,Combo 4 Quần đùi nam thể thao vải gió Quần Short nam mặc mùa hè thoáng mát Micado,219000,219000,3.8,27,85
40000,27,Áo Khoác Nỉ Bông Thêu MOOS Form Rộng Xẻ Tà Ulzzang có mũ nhiều màu,150000,110000,5,13,27
0,0,Áo hoodie nam nữ nỉ trơn mặt bông unisex cổ tròn kiểu hàn quốc,70000,70000,0,0,
21000,50,Áo Thun Nam Cổ Tròn Nhiều Màu,42000,21000,3.4,80,432
0,0,( Áo Văn Toàn ) ÁO GATHER HOODIE,399000,399000,5,27,50
0,0, QUẦN ÁO THỂ THAO NAM    BỘ HÈ CHO NAM NỮ IN CHỮ FULUA ĐỒ CẶP ĐÔI 2020,78000,78000,4.2,28,67
0,0,QUẦN JEAN NAM BAGGY PHỐI HAI TÚI HỘP UNISEX MR SMILE 99 SHOP,265000,265000,0,0,
269000,34,"Quần Túi Hộp Nam Lính Mỹ US ARMY U768 Cao Cấp, Chất Liệu Vải Kaki,Bền Màu, Ống Rộng Phong Cách, Thiết kế Túi Hộp- HÀNG CHÍNH HÃNG",799000,530000,5,100,142
0,0,Áo loang tiedye dáng thụng unisex mã số 01,95000,95000,0,0,
0,0,"Quần lót nam ARISTINO dáng boxer, quần sịp đùi nam chất liệu Cotton Oganic mềm mại, thấm hút và khử mùi vượt trội - ABX056",79000,79000,4.8,27,135
0,0,"Quần short quần đùi nam SAT SLUX-01 vải kaki cao cấp, trẻ trung, dày dặn, co giãn nhẹ, chuẩn form",280000,280000,0,0,
