discount,discount_rate,name,original_price,price,rating_average,review_count,quantity_sold
0,0,Quan jogger the thao nam tron chat gio du mem min,49000,49000,1.9,23,83
0,0,so mi lua nam ke soc body kieu dang han quoc,102000,102000,0,0,
127200,44,"Quan jean nam chat jean xin Julido, Phoi rach mau moi form dep ton dang khong qua om mau EY02",286200,159000,4.5,80,198
0,0,Ao giu nhiet lot ni mem mai co co tay dai phu hop cho mua Thu Dong Chat vai thun ni cao cap dep,150500,150500,0,0,
119000,50,COMBO 5 Ao thun tron nam form rong phong cach han quoc vai poly cotton min MAU NGAU NHIEN SIEU SALE !! SIEU SALE !!,238000,119000,3.7,33,67
0,0,Ao Gio Nam 2 Lop  ̀ ̀ Chat Lieu Gio Tron Lot Luoi Cao Cap Can Gio Can Bui Chong Nang Gon Nhe Ma 9GM,359000,359000,0,0,
0,0,Ao thun nam tay ngan co tron form tre trung vai thun mem mat free size duoi 65kg,26900,26900,3.9,43,231
0,0,"Bo Ni Nam co tron, Chat Ni Da Ca Cuc Mem, De Chiu, Thoai Mai Cho Nam",189000,189000,0,0,
0,0,"Ao thun nam nu tay lo, ao phong form rong ATL236",69000,69000,4.7,63,146
0,0,"ao cau ca, hang dep",764160,764160,0,0,
51000,32,Hop 4 Quan lot nam cao cap CITYMEN vai thun lanh,160000,109000,4.6,415,1411
0,0,Ao dai tay cotton ni hang loai 1,18000,18000,0,0,
0,0,"Ao khoac du nam , ao khac du nu , ao khoac gio , ao khoac cap doi nam nu mac vai du 2 lop",88000,88000,4.7,129,304
0,0,"Combo 2 Quan lot nam ,quan sip nam Tam giac nhat luoi thong hoi thoang khi khang khuan NO304",84000,84000,0,0,
75000,44,"ao khoac du chu Seven zia, ao khoac du chu S, ao khoac bomber chu S tay phoi, Ao khoac du nam nu mac / ao khoac gio nam nu mac / ao khoac du kieu bomber / ao khoac cap doi / ao khoac form rong unisex ullzang",170000,95000,4.5,28,82
0,0,AO SO MI NAM THEU 3D HAN QUOC(XA KHO),101000,101000,0,0,
140000,35,"Ao So Mi Nam Ngan Tay Kieu Dang Co Truong U886 Thoi Trang Han Quoc Chat Cotton Pha Lua Mem Mai, Thoang Mat, Chong Nhan, Tre Trung, Nang Dong- HANG CHINH HANG",399000,259000,5,89,135
17000,33,"Hop Quan lot nam cao cap CITYMEN vai thun lanh co mau XANH DEN, DEN, XAM NHAT, XAM DAM - (Giao Mau ngau nhien)",52000,35000,4.5,439,1877
0,0,{SIEU PHAM MUA DONG} AO KHOAC NAM /AO KHOAC NAM NI NGOAI LOT LONG GIU NHIET SIEU AM AP CHO MUA DONG CO SIZE 3XL THOI TRA,169000,169000,3.8,95,291
39000,13,Combo 3 quan dui thun nam mac nha iBasic SHM003,297000,258000,4.6,97,281
0,0,"Quan Jocker ong rong bo got in hinh Heroes co tui sau sanh dieu, quan thun ni dai ong rong nam phong cach Han Quoc",95000,95000,4.3,14,31
209000,50,Bo Quan Ao Nam 4 Mau Sang Trong Cao Cap Thoi Trang ZERO,418000,209000,4.5,76,253
0,0,Quan the thao nam jogger kaki ma TT33 tho tui hop kieu bo ong Han Quoc chat vai dep ong dai,79000,79000,1.5,2,5
0,0,"Áo khoác gió bomber nam nũ Tori local brand chát dù 2 lóp form rọng, khoác ulzzang unisex FFSTORE",125000,125000,0,0,
111200,44,"Quan jean nam cao cap chat bo sieu co dan Julido, form dung dang dep mau MM07",250200,139000,3.5,150,377
0,0,Ao khoac kaki bomber nam cao cap kieu dang han quoc,129000,129000,0,0,
60000,44,"4 Quan Lot Nam lung Han Quoc thun lanh 4 chieu cao cap, lung cao, quan sip nam thuong hieu CITYMEN ( Giao mau ngau nhien )",136000,76000,4.6,52,119
0,0,Ao khoac nam the thao Nike Dri-Fit thoi trang cao cap,205000,205000,0,0,
209000,50,Bo Quan Ao Nam Chat Ni Co Gian Thoi Trang Cao Cap ZERO,418000,209000,4.7,67,196
0,0,AO KHOAC JEAN NAM FREE SIZE NANG DONG,190000,190000,0,0,
